uuid,age,sex,occupation,district,question_id,type,turn,question,answer
61c8c3ad800d40728e9723a933cdf060,38,남자,금속공학 시험원,광주-서구,Q1,single_turn,1,인스타그램에서 가고 싶은 맛집이나 카페 같은 장소 게시물을 봤을 때 평소에 어떻게 처리하시나요? (보기: 그냥 넘긴다 / 인스타 저장 버튼을 누른다 / DM으로 친구에게 공유한다 / 링크를 카톡 '나에게 보내기'로 남긴다 / 네이버·카카오 지도에 핀을 꽂는다 / 기타) 가장 자주 하는 방식 한두 개를 골라 그 이유를 짧게 말해주세요.,"음... 저는 보통 그냥 넘기는 경우가 많아요. 괜찮아 보이는 곳이 있긴 한데, 막상 나중에 찾아가려고 하면 어디였는지 기억도 안 나고, 일일이 저장하기엔 좀 번거롭더라고요. 가끔 정말 괜찮아 보이면 DM으로 친구한테 ""이런 데 가고 싶다"" 하고 보내긴 하는데, 그것도 자주 하는 편은 아니에요."
61c8c3ad800d40728e9723a933cdf060,38,남자,금속공학 시험원,광주-서구,Q2,single_turn,1,"최근 한 달 안에 인스타에서 봤거나 저장해둔 장소를 실제로 방문한 적이 있나요? 있다면 어떤 흐름으로 가게 됐는지, 없다면 왜 못 가게 됐는지 떠올려서 한두 문장으로 말해주세요.","음, 솔직히 말하면... 인스타에서 '여기 괜찮다' 하고 저장해 둔 곳은 많은데, 막상 그걸 보러 일부러 찾아가는 경우는 드물었어요. 시간이나 일이 맞아야 가는 거지, 그거 하나 때문에 일부러 시간 내는 건 쉽지 않더라고요."
61c8c3ad800d40728e9723a933cdf060,38,남자,금속공학 시험원,광주-서구,Q3,single_turn,1,기껏 장소를 저장해두고도 막상 안 가게 되는 가장 큰 이유는 무엇인가요? (보기: 언제 누구랑 가려고 저장했는지 기억이 안 나서 / 저장함 스크롤이 너무 길어서 다시 찾기 힘들어서 / 약속 잡을 때 그 동네에 뭐 저장했는지 한눈에 안 보여서 / 저장만 해두고 까맣게 잊어버려서 / 기타) 가장 와닿는 것 한두 개와 이유를 말해주세요.,"글쎄요, 저장만 해두고 까맣게 잊어버리는 경우가 제일 많죠. 아니면 누구랑 가려고 저장했는지, 같이 가고 싶었던 마음이 좀 희미해져서 그런 것도 같고요. 결국에 뭐 하나 딱 정해서 가기가 귀찮아지는 거죠."
61c8c3ad800d40728e9723a933cdf060,38,남자,금속공학 시험원,광주-서구,Q4,single_turn,1,"인스타에서 본 장소를 우리 앱에 자동으로 저장해서 지도 위에서 관리할 수 있는 서비스가 있다면, 사용할 의향이 있으신가요? '매우 있다 / 있다 / 보통 / 없다 / 전혀 없다' 중에 골라 이유를 짧게 알려주세요.","음... '보통' 정도일 것 같네요.

인스타에서 괜찮은 곳 발견하면 저장해두는 편이긴 한데, 그거 관리하는 게 좀 귀찮더라고요. 앱으로 자동 저장되면 편하긴 하겠지만, 굳이 또 새로운 앱을 써야 하나 싶기도 하고요. 친구한테 공유하는 기능은 좀 쓸만할지도 모르겠네요."
61c8c3ad800d40728e9723a933cdf060,38,남자,금속공학 시험원,광주-서구,Q5,single_turn,1,다음 장점 중 본인에게 가장 매력적으로 느껴지는 것 한두 개를 골라보세요. (보기: 인스타 링크 복사만으로 지도에 핀이 꽂히는 편리함 / 인스타에서 본 곳을 지도 앱에 일일이 재검색하지 않아도 되는 점 / 친구들과 후보지를 모아 정할 수 있는 점 / 흩어진 핫플을 나만의 테마별 지도로 모으는 재미) 왜 그 점이 매력적인지 한 문장으로 설명해주세요.,"음... 인스타에서 본 곳을 일일이 검색 안 해도 된다는 거랑, 친구들이랑 같이 어디 갈지 정하기 편하다는 거, 두 가지가 좀 끌리네요. 제가 은근히 귀찮은 거 싫어하는 편이라서요. 그리고 친구들이랑 약속 잡을 때 이것저것 맞춰보는 게 번거로울 때가 많거든요."
61c8c3ad800d40728e9723a933cdf060,38,남자,금속공학 시험원,광주-서구,Q6,single_turn,1,이 서비스에 꼭 있었으면 하는 기능은 무엇인가요? (보기: 인스타 게시물에서 장소 자동 추출 / 친구와 함께 지도에 장소를 스크랩 / 저장 장소 근처 접근 시 리마인드 알림 / 중복으로 공유된 장소 우선 추천 / 후보지 투표 기능 / 기타) 본인에게 꼭 필요한 것 한두 개와 그 이유를 말해주세요.,"음, 흥미로운 서비스네. 나는 꼼꼼한 걸 좋아하니까, 인스타 게시물에서 장소를 자동으로 추출해주는 기능은 꼭 필요할 것 같아. 매번 일일이 주소 찾고 입력하는 거 귀찮잖아. 그리고 같이 갈 사람 있으면 편하게 공유할 수 있으면 좋고."
61c8c3ad800d40728e9723a933cdf060,38,남자,금속공학 시험원,광주-서구,Q7,multi_turn,1,"이런 서비스가 월 2,900원이라면 결제하시겠어요? 솔직하게 답해주세요.","음... 2,900원이요. 월마다 꼬박꼬박 돈을 내는 거면 좀 고민될 것 같네요. 지금 당장은 필요성을 크게 못 느끼겠어요. 물론 인스타에서 좋은 곳 발견하면 저장하고 싶은 마음은 있는데, 그걸 굳이 돈까지 내면서 해야 하나 싶기도 하고요. 일단은 무료로 써보고, 정말 쓸 만하면 그때 다시 생각해 보겠습니다."
61c8c3ad800d40728e9723a933cdf060,38,남자,금속공학 시험원,광주-서구,Q7,multi_turn,2,(앞 답변이 무엇이든) 어떤 조건이 충족되어야 결제할 마음이 생길까요? 또는 어떤 점 때문에 안 쓰겠다고 생각하셨나요?,"글쎄요, 제가 이걸 돈 내고 쓸 정도가 되려면... 인스타에서 본 장소를 바로 지도에 저장하는 기능 말고 뭔가 더 확실한 메리트가 있어야 할 것 같아요. 예를 들어, 단순히 저장하는 걸 넘어서 그 장소에 대한 제 개인적인 기록이나 평가를 남길 수 있다거나, 아니면 친구들하고 약속 잡을 때 쓸 수 있는 실질적인 기능이 더 추가된다든가 하는 거죠. 지금은 그냥 링크 복사해서 붙여넣고 저장하는 게 다인데, 그걸 위해 매달 돈을 내는 건 좀 아깝게 느껴져요."
61c8c3ad800d40728e9723a933cdf060,38,남자,금속공학 시험원,광주-서구,Q7,multi_turn,3,"지금 사용 중인 유료 앱이나 구독 서비스가 있나요? 있다면 월 얼마 정도 쓰고 계신지, 그 서비스의 어떤 점이 결제할 만하다고 느끼게 했는지 알려주세요.","제가 유료 앱이나 구독 서비스를 쓰는 게 딱히 많지는 않아요. 음... 일단 유튜브 프리미엄은 쓰고 있어요. 광고 없이 영상 볼 수 있는 게 제일 크죠. 가끔씩 필요할 때 음악 스트리밍 서비스도 쓰긴 하는데, 이건 그때그때 달라서 정기적으로 쓴다고 보긴 어려워요. 넷플릭스 같은 OTT도 안 보고 있고요. 유튜브 프리미엄은 광고 없는 점이랑 백그라운드 재생 기능 때문에 돈이 아깝지 않다는 생각이 들어요. 영상 볼 때 광고 때문에 끊기는 게 은근히 신경 쓰이거든요."
61c8c3ad800d40728e9723a933cdf060,38,남자,금속공학 시험원,광주-서구,Q7,multi_turn,4,가격 외에 이 앱을 망설이게 만드는 다른 이유가 있다면 무엇인가요?,"가격 말고라면... 사실 제일 큰 건 제 생활 패턴이랑 잘 맞을까 하는 점이에요. 제가 뭐 맨날 인스타로 약속 장소 찾고 그런 편은 아니거든요. 대부분은 아는 사람 통해서 가거나, 아니면 그냥 다니던 곳 위주로 가다 보니까요. 그리고 제가 좀 귀찮은 걸 잘 못 참는 편이라, 앱 깔고 링크 복사해서 붙여넣고 하는 과정 자체가 좀 번거롭게 느껴질 수도 있을 것 같아요. 이미 머릿속에 '여기 가봐야겠다' 하는 곳이 있으면 메모장 같은 데 간단히 적어두는 게 더 편할 때도 있고요."
